artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.id,artists.items.0.name,artists.items.0.popularity
1341781,hip hop,rap,,,,,,,,,0xOeVMOz2fVg5BJY3N6akT,Jaden,80
1343197,atl hip hop,dance pop,hip hop,hip pop,neo soul,new jack swing,pop r&b,pop rap,quiet storm,r&b,7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,68
1097767,indie soul,uk alternative pop,,,,,,,,,53KwLdlmrlCelAZMaLVZqU,James Blake,75
13376,,,,,,,,,,,5ooSG9S0glqP5ZrqqaHBvT,James Fauntleroy,59
2258459,dance pop,hip pop,neo soul,new jack swing,r&b,urban contemporary,,,,,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,71
939114,conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,,28ExwzUQsvgJooOI0X1mr3,Jay Rock,76
5739283,east coast hip hop,hip hop,pop rap,rap,,,,,,,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,87
4629211,chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary,,3KV3p5EY4AvKxOlhGHORLg,Jeremih,82
258295,atl hip hop,dirty south rap,gangster rap,hip hop,hip pop,pop rap,rap,southern hip hop,,,6nfYGe7IIuuP5bMY1jkJP6,Jermaine Dupri,63
844308,canadian contemporary r&b,canadian pop,pop,,,,,,,,3KedxarmBCyFBevnqQHy3P,Jessie Reyez,77
5730,,,,,,,,,,,0UcXjTpzt0DmIwPSNwlJfF,jetsonmade,63
3849441,alternative r&b,pop,r&b,urban contemporary,,,,,,,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,84
581057,hip hop,rap,underground hip hop,,,,,,,,6U3ybJ9UHNKEdsH7ktGBZ7,JID,76
1947334,conscious hip hop,hip hop,rap,underground hip hop,,,,,,,2P5sC9cVZDToPxyomzF1UH,Joey Bada$$,76
5304602,neo soul,pop,pop soul,r&b,urban contemporary,,,,,,5y2Xq6xcjJb2jVM54GHK3t,John Legend,85
3640497,alternative r&b,viral pop,,,,,,,,,3MZsBdqDrRTJihTHQrO6Dq,Joji,89
2537949,reggaeton,reggaeton flow,trap latino,,,,,,,,5bWUlnPx9OYKsLiUJrhCA1,Jon Z,74
1474302,boston hip hop,hip hop,pop rap,rap,,,,,,,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,81
