_id,artists.href,artists.items.0.external_urls.spotify,artists.items.0.followers.href,artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.href,artists.items.0.id,artists.items.0.images.0.height,artists.items.0.images.0.url,artists.items.0.images.0.width,artists.items.0.images.1.height,artists.items.0.images.1.url,artists.items.0.images.1.width,artists.items.0.images.2.height,artists.items.0.images.2.url,artists.items.0.images.2.width,artists.items.0.images.3.height,artists.items.0.images.3.url,artists.items.0.images.3.width,artists.items.0.name,artists.items.0.popularity,artists.items.0.type,artists.items.0.uri,artists.limit,artists.next,artists.offset,artists.previous,artists.total
5fbc5c491790a7e7ff55ca38,https://api.spotify.com/v1/search?query=jace&type=artist&offset=0&limit=1,https://open.spotify.com/artist/0vaKiuLwFJLVU664A8GTjE,,5406,,,,,,,,,,,https://api.spotify.com/v1/artists/0vaKiuLwFJLVU664A8GTjE,0vaKiuLwFJLVU664A8GTjE,640,https://i.scdn.co/image/7641778b2d39432646abaf440763041c13be68b7,640,300,https://i.scdn.co/image/88d3db97fea641eee1b066d5ccbd8fda9f7ff6e0,300,64,https://i.scdn.co/image/78649ffa58a658bf7ccc77d4b6b7f380b264a11f,64,,,,Jace,60,artist,spotify:artist:0vaKiuLwFJLVU664A8GTjE,1,https://api.spotify.com/v1/search?query=jace&type=artist&offset=1&limit=1,0,,589
5fbc5c4a1790a7e7ff55ca39,https://api.spotify.com/v1/search?query=jack+harlow&type=artist&offset=0&limit=1,https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ,,502154,deep underground hip hop,kentucky hip hop,pop rap,rap,,,,,,,https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ,2LIk90788K0zvyj2JJVwkJ,640,https://i.scdn.co/image/98e354db8bafef4b3be444bad6f0535ad72bf5f6,640,320,https://i.scdn.co/image/760c87212373379f77290356031d063ebfb792d2,320,160,https://i.scdn.co/image/360bd37c8439b95b4258b233aa12ede454d75b48,160,,,,Jack Harlow,85,artist,spotify:artist:2LIk90788K0zvyj2JJVwkJ,1,https://api.spotify.com/v1/search?query=jack+harlow&type=artist&offset=1&limit=1,0,,2
5fbc5c4a1790a7e7ff55ca3a,https://api.spotify.com/v1/search?query=jackboys&type=artist&offset=0&limit=1,https://open.spotify.com/artist/7A8S43ryYdbWpJKeHRZRcq,,333448,rap,trap,,,,,,,,,https://api.spotify.com/v1/artists/7A8S43ryYdbWpJKeHRZRcq,7A8S43ryYdbWpJKeHRZRcq,640,https://i.scdn.co/image/6ff70bad6cce3e82af9d6ad0c18734cbb53ede85,640,320,https://i.scdn.co/image/256e665edbb76ab54ef12799364aa609498302e2,320,160,https://i.scdn.co/image/a5a5d9fb23e73611c6568641a8318564242a8ed5,160,,,,JACKBOYS,77,artist,spotify:artist:7A8S43ryYdbWpJKeHRZRcq,1,https://api.spotify.com/v1/search?query=jackboys&type=artist&offset=1&limit=1,0,,8
5fbc5c4a1790a7e7ff55ca3b,https://api.spotify.com/v1/search?query=jacquees&type=artist&offset=0&limit=1,https://open.spotify.com/artist/4tMm1dU6Gn04VAZ9ClHcIZ,,1769029,atl hip hop,dance pop,pop,pop r&b,pop rap,r&b,rap,urban contemporary,,,https://api.spotify.com/v1/artists/4tMm1dU6Gn04VAZ9ClHcIZ,4tMm1dU6Gn04VAZ9ClHcIZ,640,https://i.scdn.co/image/4cfee7105792cf70d10d6c41572edacdba4aad40,640,320,https://i.scdn.co/image/d2a48eb613baa9140bb962cf35b96ce0919957e0,320,160,https://i.scdn.co/image/3208ad70689cbc1f7897ae6bb058ea386cfa5157,160,,,,Jacquees,75,artist,spotify:artist:4tMm1dU6Gn04VAZ9ClHcIZ,1,https://api.spotify.com/v1/search?query=jacquees&type=artist&offset=1&limit=1,0,,6
5fbc5c4a1790a7e7ff55ca3c,https://api.spotify.com/v1/search?query=jacquees+x+dej+loaf&type=artist&offset=0&limit=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,0
5fbc5c4a1790a7e7ff55ca3d,https://api.spotify.com/v1/search?query=jacqueez&type=artist&offset=0&limit=1,https://open.spotify.com/artist/4tMm1dU6Gn04VAZ9ClHcIZ,,1769029,atl hip hop,dance pop,pop,pop r&b,pop rap,r&b,rap,urban contemporary,,,https://api.spotify.com/v1/artists/4tMm1dU6Gn04VAZ9ClHcIZ,4tMm1dU6Gn04VAZ9ClHcIZ,640,https://i.scdn.co/image/4cfee7105792cf70d10d6c41572edacdba4aad40,640,320,https://i.scdn.co/image/d2a48eb613baa9140bb962cf35b96ce0919957e0,320,160,https://i.scdn.co/image/3208ad70689cbc1f7897ae6bb058ea386cfa5157,160,,,,Jacquees,75,artist,spotify:artist:4tMm1dU6Gn04VAZ9ClHcIZ,1,https://api.spotify.com/v1/search?query=jacqueez&type=artist&offset=1&limit=1,0,,7
5fbc5c4b1790a7e7ff55ca3e,https://api.spotify.com/v1/search?query=jaden+smith&type=artist&offset=0&limit=1,https://open.spotify.com/artist/0xOeVMOz2fVg5BJY3N6akT,,1341781,hip hop,rap,,,,,,,,,https://api.spotify.com/v1/artists/0xOeVMOz2fVg5BJY3N6akT,0xOeVMOz2fVg5BJY3N6akT,640,https://i.scdn.co/image/322f76aae1e917e250aa4f4bcd3cda85a5f13cc9,640,320,https://i.scdn.co/image/d36c82a480dc790dcecd158ef98a4cc81cb40a3f,320,160,https://i.scdn.co/image/7de4f23a53fadfe19bc18625b8425e7ca0732248,160,,,,Jaden,80,artist,spotify:artist:0xOeVMOz2fVg5BJY3N6akT,1,https://api.spotify.com/v1/search?query=jaden+smith&type=artist&offset=1&limit=1,0,,4
5fbc5c4b1790a7e7ff55ca3f,https://api.spotify.com/v1/search?query=jagged+edge&type=artist&offset=0&limit=1,https://open.spotify.com/artist/7Aq8lpLMSt1Zxu56pe9bmp,,1343197,atl hip hop,dance pop,hip hop,hip pop,neo soul,new jack swing,pop r&b,pop rap,quiet storm,r&b,https://api.spotify.com/v1/artists/7Aq8lpLMSt1Zxu56pe9bmp,7Aq8lpLMSt1Zxu56pe9bmp,750,https://i.scdn.co/image/2f5a91e36347f2fdbce10211ccbb057a09ec0285,1000,480,https://i.scdn.co/image/17be36a3aeac605882a20df18b5ec574b973e2ce,640,150,https://i.scdn.co/image/7ad93879f39d13e7894b7d401b9843c41ee7995f,200,48,https://i.scdn.co/image/15b394e68452b3483deb43af57acb1802a65937a,64,Jagged Edge,68,artist,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,1,https://api.spotify.com/v1/search?query=jagged+edge&type=artist&offset=1&limit=1,0,,11
5fbc5c4b1790a7e7ff55ca40,https://api.spotify.com/v1/search?query=james+blake&type=artist&offset=0&limit=1,https://open.spotify.com/artist/53KwLdlmrlCelAZMaLVZqU,,1097767,indie soul,uk alternative pop,,,,,,,,,https://api.spotify.com/v1/artists/53KwLdlmrlCelAZMaLVZqU,53KwLdlmrlCelAZMaLVZqU,640,https://i.scdn.co/image/c11805d1094d8298d474c8ce7324ebf4210f1e6d,640,320,https://i.scdn.co/image/8b660dba1402763526e5f3291d0029129954f632,320,160,https://i.scdn.co/image/ac0e5120a00986ba4de4f5c3a5618b868ae0e9fe,160,,,,James Blake,75,artist,spotify:artist:53KwLdlmrlCelAZMaLVZqU,1,https://api.spotify.com/v1/search?query=james+blake&type=artist&offset=1&limit=1,0,,17
5fbc5c4b1790a7e7ff55ca41,https://api.spotify.com/v1/search?query=james+fauntleroy&type=artist&offset=0&limit=1,https://open.spotify.com/artist/5ooSG9S0glqP5ZrqqaHBvT,,13376,,,,,,,,,,,https://api.spotify.com/v1/artists/5ooSG9S0glqP5ZrqqaHBvT,5ooSG9S0glqP5ZrqqaHBvT,640,https://i.scdn.co/image/ab67616d0000b273261641d9f98cc32ff5c7ad19,640,300,https://i.scdn.co/image/ab67616d00001e02261641d9f98cc32ff5c7ad19,300,64,https://i.scdn.co/image/ab67616d00004851261641d9f98cc32ff5c7ad19,64,,,,James Fauntleroy,59,artist,spotify:artist:5ooSG9S0glqP5ZrqqaHBvT,1,,0,,1
5fbc5c4c1790a7e7ff55ca42,https://api.spotify.com/v1/search?query=janet&type=artist&offset=0&limit=1,https://open.spotify.com/artist/4qwGe91Bz9K2T8jXTZ815W,,2258459,dance pop,hip pop,neo soul,new jack swing,r&b,urban contemporary,,,,,https://api.spotify.com/v1/artists/4qwGe91Bz9K2T8jXTZ815W,4qwGe91Bz9K2T8jXTZ815W,640,https://i.scdn.co/image/0f14833db64cd305f1d4a16322902c93764c8282,640,320,https://i.scdn.co/image/27753d567a02772bb23343a24536374d4040df1c,320,160,https://i.scdn.co/image/61b42e8347c2262b379aa6661e351d50d037675b,160,,,,Janet Jackson,71,artist,spotify:artist:4qwGe91Bz9K2T8jXTZ815W,1,https://api.spotify.com/v1/search?query=janet&type=artist&offset=1&limit=1,0,,904
5fbc5c4c1790a7e7ff55ca43,https://api.spotify.com/v1/search?query=jay+rock&type=artist&offset=0&limit=1,https://open.spotify.com/artist/28ExwzUQsvgJooOI0X1mr3,,939114,conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,,https://api.spotify.com/v1/artists/28ExwzUQsvgJooOI0X1mr3,28ExwzUQsvgJooOI0X1mr3,640,https://i.scdn.co/image/774454e054a4f45cfa4f74907caa45649c5d521d,640,320,https://i.scdn.co/image/3d4d4a4bb9134a07e67fa5541d3652725f88e788,320,160,https://i.scdn.co/image/43079542225f49c0ed027df9618ed8c1e7106ff2,160,,,,Jay Rock,76,artist,spotify:artist:28ExwzUQsvgJooOI0X1mr3,1,https://api.spotify.com/v1/search?query=jay+rock&type=artist&offset=1&limit=1,0,,41
